,WT,Tg
0.25,0.17682,0.17463
0.75,0.31095,0.31742
1.25,0.3991,0.41924
1.75,0.46538,0.50234
2.25,0.52126,0.56812
2.75,0.56776,0.61657
3.25,0.61131,0.65707
3.75,0.65088,0.69148
4.25,0.68107,0.72355
4.75,0.70849,0.74766
5.25,0.73347,0.77528
5.75,0.75256,0.79401
6.25,0.76887,0.8118
6.75,0.78726,0.82514
7.25,0.8001,0.83778
7.75,0.81156,0.85019
8.25,0.82457,0.86002
8.75,0.83325,0.87055
9.25,0.84331,0.87921
9.75,0.85129,0.88858
10.25,0.85737,0.89419
10.75,0.865,0.90028
11.25,0.8742,0.9073
11.75,0.88166,0.91245
12.25,0.88895,0.91713
12.75,0.89485,0.92182
13.25,0.9004,0.92509
13.75,0.90595,0.92931
14.25,0.91393,0.93399
14.75,0.91879,0.93703
15.25,0.92278,0.94218
15.75,0.92643,0.94522
16.25,0.93077,0.94874
16.75,0.93476,0.95154
17.25,0.93979,0.95482
17.75,0.94326,0.9581
18.25,0.9476,0.96091
18.75,0.95159,0.96512
19.25,0.95454,0.96676
19.75,0.95836,0.96934
20.25,0.96113,0.97191
20.75,0.96564,0.97355
21.25,0.96755,0.97495
21.75,0.96981,0.97729
22.25,0.97397,0.9794
22.75,0.97588,0.98057
23.25,0.97918,0.98408
23.75,0.98074,0.98619
24.25,0.98334,0.98806
24.75,0.98542,0.98993
25.25,0.98699,0.99228
25.75,0.98889,0.99415
26.25,0.9908,0.99508
26.75,0.99271,0.99579
27.25,0.99358,0.99625
27.75,0.9941,0.99649
28.25,0.99549,0.99719
28.75,0.9967,0.99743
29.25,0.99774,0.9993
29.75,1,1